epoch,kappa=1acc,kappa=50acc,kappa=150acc,kappa=175acc,kappa=200acc,kappa=500acc,kappa=1000acc
376,0.2091,0.8647,0.9283,0.932,0.9321,0.9319,0.5567
377,0.2091,0.8646,0.9287,0.9316,0.9326,0.9325,0.5538
378,0.2091,0.8662,0.9279,0.9327,0.9328,0.9332,0.5556
379,0.2091,0.865,0.9278,0.9327,0.9312,0.9314,0.5561
380,0.2091,0.8638,0.9278,0.9317,0.9323,0.9321,0.5554
381,0.2091,0.863,0.9278,0.932,0.9314,0.9333,0.5574
382,0.2091,0.8642,0.9281,0.9314,0.9311,0.931,0.5557
383,0.2091,0.8649,0.9283,0.9321,0.9314,0.9319,0.5563
384,0.2091,0.8656,0.9291,0.9316,0.932,0.93,0.5574
385,0.2091,0.8651,0.9277,0.9323,0.932,0.9338,0.5566
386,0.2091,0.866,0.9291,0.9313,0.9314,0.9317,0.5562
387,0.2091,0.8651,0.9287,0.9315,0.9324,0.9329,0.5563
388,0.2091,0.865,0.928,0.9326,0.9334,0.9321,0.5557
389,0.2091,0.8638,0.928,0.9331,0.9336,0.9331,0.5559
390,0.2091,0.8646,0.9284,0.9324,0.9343,0.9319,0.5576
391,0.2091,0.8645,0.9284,0.9323,0.9339,0.9322,0.5572
392,0.2091,0.8658,0.9285,0.9325,0.9324,0.9353,0.556
393,0.2091,0.8651,0.9275,0.9328,0.9341,0.9313,0.5561
394,0.2091,0.8656,0.9284,0.9335,0.9337,0.931,0.556
395,0.2091,0.8649,0.9273,0.9324,0.9344,0.9313,0.5567
396,0.2091,0.8654,0.9276,0.9334,0.9335,0.9337,0.5576
397,0.2091,0.8658,0.9271,0.9324,0.9321,0.9327,0.5547
398,0.2091,0.8655,0.9265,0.9319,0.9327,0.9323,0.5562
399,0.2091,0.8655,0.9278,0.9325,0.9344,0.9324,0.5569
400,0.2091,0.8658,0.9272,0.9336,0.9344,0.9327,0.5565
401,0.2091,0.8642,0.9272,0.9322,0.9339,0.9331,0.5575
402,0.2091,0.8653,0.9287,0.9328,0.9327,0.93,0.5566
403,0.2091,0.8656,0.9288,0.9337,0.9342,0.9316,0.557
404,0.2091,0.8661,0.9286,0.9324,0.9335,0.9309,0.5573
405,0.2091,0.8665,0.9282,0.9336,0.934,0.9313,0.5559
406,0.2091,0.8656,0.9284,0.9328,0.9337,0.9332,0.5545
407,0.2091,0.866,0.9301,0.9333,0.9337,0.9316,0.5547
408,0.2091,0.8656,0.9295,0.9344,0.9331,0.9305,0.5543
409,0.2091,0.866,0.9294,0.934,0.9323,0.9329,0.5557
410,0.2091,0.8664,0.9304,0.9345,0.9322,0.9334,0.5562
411,0.2091,0.8667,0.93,0.9341,0.9334,0.9331,0.5564
412,0.2091,0.8668,0.9292,0.9343,0.9337,0.9314,0.5564
413,0.2091,0.8669,0.9294,0.9351,0.9334,0.9296,0.5564
414,0.2091,0.8674,0.9298,0.9352,0.933,0.9323,0.5573
415,0.2091,0.8685,0.9286,0.9349,0.9322,0.9313,0.557
416,0.2091,0.8679,0.9302,0.9349,0.9323,0.9298,0.5576
417,0.2091,0.8678,0.9278,0.9353,0.9328,0.9289,0.5578
418,0.2091,0.8687,0.9292,0.9348,0.933,0.9295,0.5578
419,0.2091,0.8684,0.9287,0.9347,0.9338,0.932,0.5569
420,0.2091,0.8693,0.9301,0.9344,0.9333,0.9318,0.5572
421,0.2091,0.8685,0.9293,0.934,0.935,0.9326,0.5579
422,0.2091,0.8688,0.9301,0.9335,0.9338,0.9295,0.5575
423,0.2091,0.8696,0.9295,0.9332,0.9347,0.9307,0.5563
424,0.2091,0.8697,0.9301,0.9333,0.9349,0.9334,0.5568
425,0.2091,0.8699,0.9297,0.9325,0.9344,0.9339,0.5581
426,0.2091,0.8696,0.9301,0.9336,0.9343,0.9325,0.5558
427,0.2091,0.87,0.9307,0.9328,0.9342,0.9328,0.5555
428,0.2091,0.8701,0.9286,0.9321,0.9349,0.932,0.5558
429,0.2091,0.8693,0.9291,0.9324,0.9348,0.9338,0.5561
430,0.2091,0.8691,0.9299,0.9324,0.9335,0.9345,0.557
431,0.2091,0.8713,0.9301,0.9335,0.9351,0.9341,0.5562
432,0.2091,0.8711,0.9297,0.9333,0.9354,0.9338,0.5577
433,0.2091,0.8715,0.929,0.9335,0.935,0.9315,0.5577
434,0.2091,0.8714,0.9294,0.9342,0.9353,0.931,0.5556
435,0.2091,0.8698,0.93,0.9345,0.9349,0.9324,0.5573
436,0.2091,0.8699,0.929,0.9338,0.9353,0.9321,0.5571
437,0.2091,0.8705,0.928,0.9336,0.9354,0.9312,0.5553
438,0.2091,0.871,0.9283,0.933,0.9349,0.9316,0.5577
439,0.2091,0.8701,0.9293,0.9343,0.9343,0.9336,0.557
440,0.2091,0.8715,0.9283,0.9335,0.9344,0.9323,0.5558
441,0.2091,0.8699,0.9303,0.9333,0.9346,0.9335,0.5566
442,0.2091,0.8712,0.9301,0.9322,0.9359,0.9338,0.5564
443,0.2091,0.8697,0.9291,0.9325,0.9349,0.9323,0.5579
444,0.2091,0.8704,0.9286,0.9313,0.9356,0.9332,0.557
445,0.2091,0.8709,0.9302,0.9311,0.9364,0.9314,0.558
446,0.2091,0.8704,0.9294,0.9316,0.9359,0.9319,0.5582
447,0.2091,0.8705,0.9294,0.9318,0.9349,0.9321,0.5562
448,0.2091,0.8705,0.9293,0.9315,0.9353,0.9328,0.5579
449,0.2091,0.8712,0.9306,0.9318,0.9349,0.934,0.5582
450,0.2091,0.8711,0.9292,0.9323,0.9361,0.9334,0.5579
451,0.2091,0.8711,0.9294,0.9316,0.9359,0.9336,0.5559
452,0.2091,0.871,0.9304,0.9313,0.9351,0.9348,0.5568
453,0.2091,0.8707,0.9292,0.9314,0.935,0.9349,0.5575
454,0.2091,0.871,0.9289,0.9304,0.9357,0.9348,0.5569
455,0.209,0.8716,0.9298,0.9303,0.9359,0.9348,0.559
456,0.209,0.8707,0.9299,0.9305,0.9355,0.9343,0.5577
457,0.209,0.8705,0.9293,0.9316,0.9346,0.9343,0.5584
458,0.209,0.8709,0.9285,0.9322,0.9354,0.9336,0.5599
459,0.209,0.8718,0.929,0.9317,0.9342,0.9332,0.559
460,0.209,0.8715,0.9292,0.9318,0.9351,0.9337,0.5583
461,0.209,0.8713,0.9298,0.9314,0.9356,0.934,0.5584
462,0.209,0.8706,0.9299,0.9318,0.9356,0.9351,0.5585
463,0.209,0.8705,0.9292,0.9311,0.9354,0.9356,0.5549
464,0.209,0.8702,0.9293,0.9306,0.9357,0.9325,0.5583
465,0.209,0.8693,0.9287,0.9309,0.936,0.9319,0.5579
466,0.209,0.8695,0.9294,0.9312,0.935,0.9338,0.5585
467,0.209,0.8692,0.9291,0.9321,0.9361,0.9337,0.5586
468,0.209,0.8698,0.9299,0.9327,0.936,0.9348,0.5577
469,0.209,0.87,0.9302,0.9323,0.9359,0.9342,0.5573
470,0.209,0.8696,0.9297,0.9322,0.9353,0.9323,0.5586
471,0.209,0.8695,0.9295,0.9331,0.9342,0.9332,0.5576
472,0.209,0.8692,0.9295,0.9328,0.9352,0.934,0.5578
473,0.209,0.8704,0.9292,0.9341,0.9356,0.9337,0.559
474,0.209,0.8705,0.9293,0.9331,0.9346,0.9343,0.5587
475,0.209,0.8698,0.9296,0.9331,0.9354,0.9344,0.5566
476,0.209,0.87,0.9291,0.9335,0.9344,0.9339,0.5589
477,0.209,0.8707,0.9287,0.9335,0.9346,0.935,0.5584
478,0.209,0.8698,0.9294,0.9336,0.9347,0.9338,0.5576
479,0.209,0.8699,0.9298,0.9324,0.9355,0.9339,0.5577
480,0.209,0.8695,0.9288,0.9334,0.9357,0.9346,0.5589
481,0.209,0.8694,0.9284,0.9322,0.9347,0.9352,0.5586
482,0.209,0.87,0.929,0.933,0.9358,0.9345,0.557
483,0.209,0.8688,0.929,0.9336,0.9345,0.9353,0.5585
484,0.209,0.8695,0.9294,0.9327,0.9345,0.9353,0.5578
485,0.209,0.8694,0.9305,0.9335,0.9348,0.9331,0.5581
486,0.209,0.8696,0.9295,0.9333,0.9353,0.934,0.5587
487,0.209,0.8702,0.93,0.9329,0.9342,0.9359,0.5573
488,0.209,0.8715,0.9299,0.9332,0.935,0.9372,0.5586
489,0.209,0.8713,0.9293,0.9331,0.9359,0.9353,0.5583
490,0.209,0.8724,0.9299,0.9345,0.9345,0.936,0.5585
491,0.209,0.8723,0.9289,0.9343,0.9349,0.9345,0.5578
492,0.209,0.8721,0.9286,0.933,0.934,0.9355,0.558
493,0.209,0.8729,0.9292,0.9335,0.9346,0.9372,0.5582
494,0.209,0.8724,0.9287,0.9341,0.9366,0.9346,0.5577
495,0.209,0.8729,0.9279,0.9338,0.9354,0.9343,0.5551
496,0.209,0.8731,0.9281,0.9343,0.9355,0.9343,0.5573
497,0.209,0.8736,0.9289,0.9343,0.9349,0.9333,0.5576
498,0.209,0.8745,0.928,0.9347,0.9344,0.9334,0.5561
499,0.209,0.8734,0.9288,0.9352,0.9348,0.9341,0.5569
