epoch,kappa=1acc,kappa=50acc,kappa=150acc,kappa=175acc,kappa=200acc,kappa=500acc,kappa=1000acc
86,0.209,0.8354,0.9107,0.9101,0.9176,0.8853,0.4617
87,0.209,0.8363,0.9102,0.9146,0.9177,0.8906,0.4599
88,0.2089,0.8392,0.9137,0.9131,0.9167,0.889,0.4631
89,0.209,0.8428,0.9116,0.9138,0.9195,0.8909,0.4636
90,0.2089,0.8381,0.9093,0.9119,0.9179,0.8869,0.4644
91,0.2089,0.8408,0.9101,0.9146,0.9152,0.8924,0.4595
92,0.2089,0.838,0.9142,0.9125,0.9157,0.8922,0.4622
93,0.2089,0.8369,0.9133,0.9148,0.9161,0.8955,0.4624
94,0.2089,0.8377,0.9153,0.9121,0.9193,0.8952,0.4629
95,0.2089,0.8382,0.9155,0.914,0.9193,0.8949,0.4614
96,0.2089,0.8381,0.9127,0.9169,0.9202,0.8918,0.4649
97,0.2089,0.8379,0.9146,0.9166,0.9196,0.8963,0.4633
98,0.2089,0.8376,0.9158,0.916,0.9212,0.8954,0.4631
99,0.2089,0.8413,0.9152,0.9197,0.9203,0.8935,0.4637
100,0.2089,0.8412,0.9187,0.9173,0.9226,0.8973,0.4652
101,0.2089,0.8405,0.9158,0.916,0.9227,0.89,0.4665
102,0.2089,0.8444,0.9167,0.9169,0.9213,0.8921,0.4641
103,0.2089,0.8425,0.9167,0.916,0.9205,0.8904,0.4643
104,0.2089,0.8415,0.9169,0.9157,0.9203,0.8931,0.4651
105,0.2089,0.8422,0.9176,0.9196,0.9204,0.8936,0.4613
106,0.2089,0.8448,0.9173,0.9202,0.9214,0.8968,0.4623
107,0.2089,0.8459,0.9148,0.9193,0.9229,0.8962,0.4622
108,0.2089,0.8475,0.9188,0.919,0.9204,0.8974,0.4635
109,0.2089,0.8454,0.9181,0.9172,0.9192,0.8996,0.4627
110,0.2089,0.8414,0.9183,0.9206,0.9226,0.898,0.4631
111,0.2089,0.8392,0.9162,0.9178,0.9203,0.9036,0.4628
112,0.2089,0.8432,0.9178,0.9192,0.9231,0.8973,0.462
113,0.2089,0.8448,0.9211,0.9197,0.9216,0.9016,0.4625
114,0.2089,0.8418,0.9172,0.9212,0.9206,0.9017,0.4638
115,0.2089,0.8432,0.9162,0.9198,0.9214,0.9009,0.4604
116,0.2089,0.8438,0.9171,0.92,0.9224,0.8986,0.4643
117,0.2089,0.8439,0.9188,0.9186,0.9215,0.902,0.4599
118,0.2089,0.8429,0.9171,0.9196,0.9233,0.9024,0.4636
119,0.2089,0.846,0.9175,0.9208,0.9253,0.9012,0.4645
120,0.2089,0.8465,0.9174,0.919,0.9234,0.8996,0.4627
121,0.2089,0.8461,0.9173,0.921,0.9243,0.9003,0.4638
122,0.2089,0.8447,0.9194,0.9179,0.9221,0.9018,0.4646
123,0.2089,0.8451,0.9197,0.92,0.925,0.9025,0.4641
124,0.2089,0.8444,0.9204,0.9206,0.9208,0.901,0.4632
125,0.2089,0.8449,0.9199,0.9205,0.9222,0.904,0.4644
126,0.2089,0.8449,0.9217,0.9221,0.9236,0.9008,0.4652
127,0.2089,0.8466,0.9213,0.9244,0.9224,0.9027,0.4623
128,0.2089,0.8479,0.9208,0.925,0.9238,0.906,0.463
129,0.2089,0.8485,0.9197,0.9221,0.9215,0.9062,0.4632
130,0.2089,0.8479,0.9209,0.9271,0.9214,0.9064,0.4658
131,0.2089,0.8496,0.922,0.9245,0.9257,0.9016,0.4648
132,0.2089,0.8498,0.9223,0.9236,0.9235,0.9042,0.4629
133,0.2089,0.8508,0.9195,0.9241,0.924,0.9019,0.4589
134,0.2089,0.8487,0.921,0.9225,0.922,0.9025,0.4623
135,0.2089,0.8511,0.922,0.921,0.9233,0.9035,0.4623
136,0.2089,0.8467,0.9199,0.9238,0.9245,0.9042,0.4646
137,0.2089,0.8475,0.9197,0.9233,0.9243,0.9045,0.4633
138,0.209,0.848,0.9205,0.9238,0.9231,0.8993,0.4648
139,0.209,0.8457,0.919,0.9236,0.9248,0.9007,0.4628
140,0.209,0.8451,0.9216,0.9255,0.9262,0.9031,0.4649
141,0.209,0.8459,0.9218,0.9254,0.9267,0.9027,0.4659
142,0.209,0.8457,0.9225,0.924,0.9263,0.9013,0.4672
143,0.209,0.8477,0.9232,0.9241,0.9279,0.9005,0.4662
144,0.209,0.8469,0.9224,0.9242,0.9282,0.9035,0.4642
145,0.209,0.8471,0.9218,0.9236,0.9257,0.903,0.4671
146,0.209,0.8473,0.924,0.9222,0.9273,0.9058,0.467
147,0.209,0.8468,0.9226,0.9227,0.9273,0.9049,0.4653
148,0.209,0.8472,0.9227,0.9232,0.9265,0.9085,0.4617
149,0.209,0.848,0.9224,0.926,0.9265,0.9057,0.4662
150,0.209,0.8485,0.9229,0.9261,0.927,0.9057,0.4676
151,0.209,0.8467,0.923,0.9233,0.9267,0.9033,0.4663
152,0.2091,0.844,0.9233,0.9266,0.929,0.902,0.4666
153,0.2091,0.8441,0.9233,0.9275,0.9274,0.905,0.4673
154,0.2091,0.8447,0.9259,0.9256,0.9282,0.9077,0.4662
155,0.2091,0.8454,0.924,0.9243,0.9282,0.9065,0.4637
